Name,Phone,Url
Dr.Shahan Alam Clinic,,"
0332 9026129",,(5)
Akora Medical Center,,,,(7)
Clinic Dr. Amna Younas - Gynecologist,,"
(0923) 630559",,(4)
Dr jamal clinic,,"
0310 9882299",,(7)
Dr.ghazala Nawaz,,"
0300 5714434",,(3)
Civil Hospital Akora Khattak,,,,(5)
Medical Doctor Ayaz Khan,,"
0334 5930159",,
Dr Ghazala Javaid,,"
0300 5714434",,
Amina Younis Clinic And Maternity Home,,,,(2)
DR FAZLI SUBHAN,,"
0333 9003601",,
Dr. Aneesa Anum Hospital,,"
0334 0107141",,
LRBT Free Secondary Eye Hospital – Akora Khattak,,"
(0923) 630283",,(64)
Dr Muhammad shahab dental clinic,,"
0333 8021844",,
Asmat Ara Clinic And Maternity Home,,"
0313 9139944",,(3)
Dr. Shah Zaib and associates,,"
0347 4794661",,
New Tariq Medicose,"242G+2F7, Kabli Bazaar Rd, Akora Khattak, Nowshera, Khyber Pakhtunkhwa","
0336 9012628",,(2)
Dr Fazli subhan clinic,,,,
Yousef Medical hall,,,,(1)
Dr. Sara Ejaz.Dental surgeon for female and children only,,"
0336 9271503",,(2)
Doctor Abid Homeo Clinic,,,,
Aina marzia free eye care hospital,,"
(0923) 630500",,(3)
Zaman Doctor,,,,
