Name,Phone,Url
Malik Restaurant Jehangira ( kabab House),"X674+PPG, Swabi - Jahangira Rd, Dubandi Bazar Jehangīra, Nowshera, Khyber Pakhtunkhwa",0341 1151500,,(16)
Pizza point jehangira,"Swabi - Jahangira Rd, Dubandi Bazar Jehangīra, Nowshera, Khyber Pakhtunkhwa",0333 9419877,,(13)
Jehangira fish Point and Restaurant,"X697+FJM, Swabi - Jahangira Rd, Jehangīra, Nowshera, Khyber Pakhtunkhwa",0345 1650008,,(10)
Jahangira,"Swabi, Khyber Pakhtunkhwa",0345 9138265,,(16)
Baba Dawar Khan Fish Point and Restaurant,"W6CH+R6H Kund, Jehangīra, Nowshera, Khyber Pakhtunkhwa",(0923) 695066,,(209)
بسم الله ریسٹورنٹ,,0300 5776656,,(1)
Kund View Hotel & Guest House,"GT Rd, Jahangira, Kattimaina, Khyber Pakhtunkhwa",,,(22)
Chinar Hotel,"Nodiha, Nowshera, Khyber Pakhtunkhwa",,,(96)
Midway Restaurant Hotel and Restaurant,"maan gt rode kund Park, Jehangīra, Swabi, Khyber Pakhtunkhwa",0300 5088337,,(25)
Janat Gul Chapli kabab and Kabuli polau.,"X674+VXP, Swabi - Jahangira Rd, Dubandi Bazar Jehangīra, Nowshera, Khyber Pakhtunkhwa",0300 5710367,,(1)
Italian Pizza,"X692+97J, Nowshera, Khyber Pakhtunkhwa",(0923) 510003,,(72)
Al-Syed Hotel & BBQ,"W6MH+P79, GT Rd, Jahangira, Khyber Pakhtoonkhwa, Jehangīra",,,(28)
TKR 2,"Toll Plaza, opposite to Swat Motorway, Kernal Sher Khan Interchange Swabi, Nowshera, Khyber Pakhtunkhwa 23610",0304 1110857,"
tahirkhanrestaurants.com","(9,133)"
Al-madina restaurant,"X679+MC4, Swabi - Jahangira Rd, opp. sheeri mehal sweet&bakery, Mangan Kelay Jahangirah Jehangīra, Nowshera, Khyber Pakhtunkhwa",0300 5877131,,(1)
Gala Resort & Restaurant,"W6MH+JFC, Nowshera, Khyber Pakhtunkhwa",0333 9197882,,(53)
Haji Mera Jan À Nowshahra,"X687+F5F, Jehangīra, Swabi, Khyber Pakhtunkhwa",,,(3)
گل لالا چپلی کباب,"X69J+X83, Jehangīra, Swabi, Khyber Pakhtunkhwa",0315 9058191,,(3)
Mama g chapli kabab,"Garrah Rd, Jehangīra, Swabi, Khyber Pakhtunkhwa 23620",0300 0945692,,(2)
River View Restaurant,"Main GT road, Akhtar fish market near police line, Nowshera, Khyber Pakhtunkhwa 24110",0345 9990235,,"(4,422)"
gul sher hotel jehangira,"X679+MC4, Mangan Kelay Jahangirah Jehangīra, Nowshera, Khyber Pakhtunkhwa",,,
Zarghoon wedding marquee,"X676+8PJ, Dubandi Bazar Jehangīra, Swabi, Khyber Pakhtunkhwa",0333 8330333,"
facebook.com",(4)
Green Star Restaurant,"X657+QGQ Aslam Khan Market, Grand Trunk Rd, Dubandi Bazar Azakhel Bala, Nowshera, Khyber Pakhtunkhwa",,,(1)
Gul Restaurant,"W6JP+3W2, Beside Kund Park, Jehangīra, Swabi, Khyber Pakhtunkhwa",0311 5347000,,(3)
Khan Darbar Restaurant,"2CR3+P6H, Jehangira-Swabi Rd, Chota Lahore, Khyber Pakhtoonkhwa, Sheikh Dheri",0319 5774200,,(25)
Namkeen shinwari restaurant kund Khairabad,"Main Peshawar Rd, Nowshera, Khyber Pakhtunkhwa 87320",0331 9061236,"
m.youtube.com",(58)
House Palater and Restaurant Shinwari Taraskoon,"W69H+F3M, Grand Trunk Rd, Nowshera, Khyber Pakhtunkhwa",0345 9043718,,(3)
Zauq Restaurant,"Mera, Akora Khattak, Nowshera, Khyber Pakhtunkhwa",0336 9777168,,(88)
Nawab Restaurant,"X7RC+375, Swabi - Jahangira Rd, Tordher, Swabi, Khyber Pakhtunkhwa",,,(10)
Saif Peshawari Ice Cream Cafe,"X674+89G, Dubandi Bazar Jehangīra, Nowshera, Khyber Pakhtunkhwa",0334 9494794,,(71)
Super Daryab Hotel & Restaurant,"Grand Trunk Rd, Nowshera, Khyber Pakhtunkhwa 24110",0300 9047673,"
superdaryaabhotel.com",(33)
Kund View Family Resturant,"W6JM+3X2 Kund, Opposite Kund park, Grand Trunk Rd, Khairabad, Nowshera, Khyber Pakhtunkhwa",0346 2222822,,(8)
Abaseen Restaurant,"X7RC+7H8, Swabi - Jahangira Rd, Tordher, Swabi, Khyber Pakhtunkhwa",,,(4)
سنگم ہوٹل,"W67J+C7Q, Nowshera, Khyber Pakhtunkhwa",0333 8353592,,(10)
Korba Restaurant,"2X49+V6Q, Grand Trunk Rd, Khat Kalay, Nowshera, Khyber Pakhtunkhwa",0333 3443313,,"(4,331)"
Quetta Shahi Cafe,"X4XF+VHQ, Mahboob plaza near jamia haqqania GT, road, Akora Khattak, 24040",0337 4811949,,(25)
Nizar Fish Restaurant نظار فش ریسٹورنٹ,,0311 9922253,,(63)
Zanzibar Restaurant,"W6GM+FCW, Swabi, Khyber Pakhtunkhwa",,,(10)
Jahangira Chapli Kabab,"X679+MC4 Sawabi Chowk, Road, near Shah G Cycle Store, Mangan Kelay Jahangirah Jehangīra, Nowshera, Khyber Pakhtunkhwa",,,
Taj Mahal Inn Restaurant,"2353+FPH, GT Rd, Hakim Abad, Nowshera, Cantt, Khyber Pakhtunkhwa",0336 9771390,,(487)
Grill Food River View Restaurant,"2X4C+44V, Khat Kalay, Nowshera, Khyber Pakhtunkhwa",0300 9041458,,(100)
Bilal kallem,,,,
Afghan Abdul Salam Hotel,"W6CH+C65, Peshawar Rd, Kattimaina, Nowshera, Khyber Pakhtunkhwa",0315 9921399,,(7)
Taj Restaurant & Platter House,"Road, opposite Ronaq Shadi Hall, Hakim Abad, Nowshera, Khyber Pakhtunkhwa",0311 6478785,,(3)
Ibrahim shah shop,"X663+RX7, Dubandi Bazar Jehangīra, Swabi, Khyber Pakhtunkhwa",0347 8204900,,(1)
Abaseen Restaurant and Picnic Point,,0315 7421150,,(12)
Inayat Fish Point عنایت فش پوائنٹ,"X72C+J59, Alladher, Swabi, Khyber Pakhtunkhwa",0311 9913282,,(2)
Khan jee and ka ka jee,"near TCF School, Jehangīra, Nowshera, Khyber Pakhtunkhwa",0311 9939998,,
Peshawari Icecream and Special Falooda,"X675+X9P, Dubandi Bazar Jehangīra, Nowshera, Khyber Pakhtunkhwa",,,(35)
Baba Sarwar Fish Centre,"W69H+9H3, Peshawar-Rawalpindi Rd, Khairabad, Nowshera, Khyber Pakhtunkhwa",0348 9318093,,(166)
Indus Restaurant,"28CW+XV8, Jahangira-Swabi Rd, Chota Lahore, Khyber Pakhtoonkhwa, Qaziabad, Swabi, Khyber Pakhtunkhwa",,,(12)
Jadoon Restaurant,"W7XC+QVM, Alladher, Swabi, Punjab",0312 8638856,,(5)
Zeb chicken shop,,,,(2)
Taj Restaurant & Platter House,"opposite Ronaq Shadi Hall, Hakimabad, Hakim Abad, Nowshera, Khyber Pakhtunkhwa",0335 1212504,,(1)
Chill Out Franchise Fast Food Restaurant,"X4XM+FJM, Akora Khattak, Nowshera, Khyber Pakhtunkhwa",0317 9606161,,(167)
Hill Top Restaurant and Fun land,"XX3H+662, Manki Sharif Rd, Manki Sharif, Nowshera, Khyber Pakhtunkhwa",0311 9081083,,(19)
Usmania Restaurant & Wedding Marque,"225X+Q45، GT Rd, Nowshera Cantt, Khyber Pakhtoonkhwa, Hakim Abad, Nowshera, Khyber Pakhtunkhwa",(0923) 563040,,"(1,277)"
Khan G Chapli kabab & hotel,"Adda, Tordher, Swabi, Khyber Pakhtunkhwa 23610",0316 4054848,,(22)
Peshawari Chatkharidar Chat (پشاوری چٹخارے دار چاٹ),"4FGC+FX9, Jehangira road, Hidayat market",0344 9222574,,(2)
Royal Fish Point And Restaurant,"Royal Fish Point And Restaurant Main Swabi, Jehangira Road, near Government Degree College, Lahor",,,(1)
باربی کیو اینڈ تکہ کراہی,"V6XH+M5R, Nizampur Rd, Khairabad, Nowshera, Khyber Pakhtunkhwa",,,(1)
Mashooq Hotel,"X675+H44, Dr Khanadin St, Dubandi Bazar Jehangīra, Nowshera, Khyber Pakhtunkhwa",0311 9196448,,
Al madina restaurent alladher,"W7X9+PX7, Alladher, Swabi, Punjab",0333 9038128,,(27)
محمد خان ہوٹل,"X72C+5QV, Alladher, Swabi, Punjab",,,(19)
Qadarmand Shenwari Restaurant,"X5MG+QG5, Grand Trunk Rd, shaidu, Nowshera, Khyber Pakhtunkhwa",(0923) 510022,,(14)
Jahangir Restaurant,"G3FV+7VM, Bahria Intellectual Village Saddar, Rawalpindi, Punjab 46000",(051) 8445717,,"(1,861)"
Lazzat corner,"V6RG+3PX, Nizampur Rd, Khairabad, Nowshera, Khyber Pakhtunkhwa",0322 5811600,,(2)
Qayyum Kabab Shop,"X5HM+R5W, shaidu, Nowshera, Khyber Pakhtunkhwa",0332 9045393,,(10)
Royal Fish Point رائل فش پوائنٹ,"X72C+J59, Alla Dher, Swabi, Khyber Pakhtunkhwa",0313 9328542,,(2)
insaf hotel and restaurant of tordher. sawbi,"X7QQ+4XV, Tordher, Swabi, Khyber Pakhtunkhwa",0334 0504370,,(9)
Aroma Pizza Palace,"mandai road, opposite Hira model school girls section, next to Royal stationary shop, Tordher, Swabi, Khyber Pakhtunkhwa",0312 5807124,,(2)
Ali Abad Khattak restaurant,"2354+GW8, Nowshera, Khyber Pakhtunkhwa",0313 9777299,,(16)
Traskoon shinwari restaurant,"W6CH+778, Kattimaina, Nowshera, Khyber Pakhtunkhwa",0331 9061236,"
facebook.com",(7)
Mian Gul kor,"W4VP+CWH, Adamzai, Nowshera, Khyber Pakhtunkhwa",0314 5767640,,(3)
Hujra Malik Ajab Khan Baba Marhoom,"285G+CM9, Manki, Swabi, Khyber Pakhtunkhwa",,,(3)
Baba Restaurant & Chapli Kabab Swabi,"Jahangira Rd, opposite Wapda, Office, Gharibabad Maniri, Swabi, Khyber Pakhtunkhwa 23430",0322 9951195,,(129)
Jahangiri Restaurant,"C2R9+4H8, Mohalla Allahabad, Jand, Attock, Punjab",,,(35)
Jahangir,"Mesco Plaza، 64-East Jinnah Ave, Block H G 7/2 Blue Area, Islamabad, Islamabad Capital Territory 44000",(051) 2348058,"
m.facebook.com","(2,957)"
Mian Gul Zangal,"X45V+65X, Adamzai, Nowshera, Khyber Pakhtunkhwa",0314 5767640,,(3)
JAHANGIR BALTI & BAR-B-Q,,0348 1611231,,(21)
Ameer Hamza Shanwari Restaurant,"W6XF+256, Nodiha, Nowshera, Khyber Pakhtunkhwa",,,
ماندہ چپلی کباب,"242H+R32, Kabli Bazaar Rd, Akora Khattak, Nowshera, Khyber Pakhtunkhwa",,,(2)
Mama Shoaib Hotel,"V6XW+F85, Attock Khurd, Attock, Punjab",,,(107)
Islamabad Hotel,"3677+892, Kernal Sher Khan Interchange Mardan, Nowshera, Khyber Pakhtunkhwa",,,(5)
باجوڑ ہوٹل,"36C7+P29, Dobian Interchange Rd, Nowshera, Khyber Pakhtunkhwa",,,(79)
ABA chappli kabab & Zain restaurant,,0314 2283143,,(2)
