Name,Phone,Url
River View Restaurant,"Main GT road, Akhtar fish market near police line, Nowshera, Khyber Pakhtunkhwa 24110","
0345 9990235",,"(4,421)"
Korba Restaurant,"2X49+V6Q, Grand Trunk Rd, Khat Kalay, Nowshera, Khyber Pakhtunkhwa","
0333 3443313",,"(4,331)"
Grill Food River View Restaurant,"2X4C+44V, Khat Kalay, Nowshera, Khyber Pakhtunkhwa","
0300 9041458",,(100)
HFC,"Station Road, Nowshera Cantonment Nowshera, Khyber Pakhtunkhwa","
0345 9286668",,"(1,303)"
Chill Out Fast Food Restaurant,"saraffa bazaar Khyber street cantt Khyber, street, Nowshera, Khyber Pakhtunkhwa 24100","
0322 7277280",,(485)
Al Naseeb Baryani & Pakwan center nowshera kpk,"Purana hospital, Saddar Nowshera Cantonment, Nowshera, Khyber Pakhtunkhwa 24100","
0333 5953450",,(933)
Usmania Restaurant & Wedding Marque,"225X+Q45، GT Rd, Nowshera Cantt, Khyber Pakhtoonkhwa, Hakim Abad, Nowshera, Khyber Pakhtunkhwa","
(0923) 563040",,"(1,277)"
Traskoon,"2X49+FCF, Peshawar-Rawalpindi Rd, Khat Kalay, Akram Abad, Nowshera, Khyber Pakhtunkhwa","
0324 9909737",,(178)
Akbar Fish,"001 N-45, Mohalla Meetha Khel, Nowshera, Khyber Pakhtunkhwa","
0312 5864965",,(137)
KPK Platter House,"Near police lane, Main Peshawar Rd, Khat Kale","
0335 1432182","
facebook.com",(41)
"Armour Officers Mess, Nowshera","226C+7M, Nowshera Cantonment, Hakimabad, Nowshera, Khyber Pakhtunkhwa","
0313 8569321",,(39)
Hill Top Restaurant and Fun land,"XX3H+662, Manki Sharif Rd, Manki Sharif, Nowshera, Khyber Pakhtunkhwa","
0311 9081083",,(19)
New Shinwari Tikka Restaurant,"2X3H+XQW, Unnamed Road, Akramabad, Nowshera, Khyber Pakhtunkhwa","
0311 9100572",,(10)
Italian Pizza Nowshera Branch,"2X4H+3MR, Grand Trunk Rd, Akramabad, Nowshera, Khyber Pakhtunkhwa","
(0923) 611151",,(344)
Qureshi cafe,By Pass Road Nowshera cantt,"
0333 9099138",,(64)
Al Madina restaurant,"Grand Trunk Rd, opposite sage leather, Hakimabad, Nowshera, Khyber Pakhtunkhwa 24100","
0315 0979291",,(110)
Pizza KING,"225M+JGF, Hakimabad, Nowshera, Khyber Pakhtunkhwa","
0346 9026197",,(123)
Soghaat,"2X4P+3VX, Saddar Nowshera, Khyber Pakhtunkhwa","
0330 4612211",,(13)
Toray Machli Farosh Fish Resturant,"001 N-45, Mohalla Meetha Khel, Nowshera, Khyber Pakhtunkhwa","
0332 7098178",,(44)
Desi dera & cafe,,"
0331 5091707",,(1)
Nowshera,,,,
Cafe Eat and Read,"2234+V2C، Station Road, Nowshera Cantonment Nowshera, Khyber Pakhtunkhwa","
(0923) 610082",,(100)
River View Hotel and Restaurant,,"
0300 9735031",,(55)
Quetta Express Cafe,"2X8R+738, Mardan Road, WAPDA Colony Shah Mir Garhi, Nowshera, Khyber Pakhtunkhwa","
0312 8004223",,(112)
Ghazi Baryani Center,"2X3P+WXM, Main Bazar, Saddar Nowshera, Khyber Pakhtunkhwa","
0347 5808070",,(1)
Taj Mahal Inn Restaurant,"2353+FPH, GT Rd, Hakim Abad, Nowshera, Cantt, Khyber Pakhtunkhwa","
0336 9771390",,(487)
Akbar Fish & Restaurant,"225M+JF4, Service Rd, Dehri Kati Khel, Hakim Abad, Nowshera, Khyber Pakhtunkhwa","
0312 9757358",,(15)
Dewaan e Khaas Nowshera,"2243+JMJ, Nowshera Cantonment Nowshera, Khyber Pakhtunkhwa","
(0923) 614444",,(37)
Zeb Kabab Shop,"2X2Q+5CW, Saddar Nowshera, Khyber Pakhtunkhwa",,,(2)
Madina Restaurant,"2X3P+WR4, Cavalary Rd, Saddar Nowshera, Khyber Pakhtunkhwa",,,(41)
Super Daryab Hotel & Restaurant,"Grand Trunk Rd, Nowshera, Khyber Pakhtunkhwa 24110","
0300 9047673","
superdaryaabhotel.com",(33)
